id,ano,valor_total
178871,2024,516751.47999999986
204567,2025,516715.3900000007
198783,2025,516569.1400000007
160758,2025,516395.9599999998
133439,2024,516378.76000000024
178997,2024,516345.75000000006
204534,2025,516328.8199999995
162067,2023,516288.6900000002
220597,2024,516275.69000000006
73778,2025,516233.80000000016
224117,2023,516019.27
204474,2025,515932.3900000004
204518,2025,515919.06
204367,2023,515852.64000000013
220691,2025,515838.18000000005
220690,2023,515664.23
178929,2024,515577.2399999992
220542,2023,515326.64
141398,2023,515006.7599999991
220559,2025,514993.25
215043,2024,514956.14000000036
204398,2023,514749.2200000004
220612,2024,514710.4000000002
226708,2025,514704.74000000017
220545,2023,514672.6399999999
92776,2024,514645.5400000004
220556,2024,514601.35999999964
220595,2023,514489.7999999997
141456,2024,514467.57000000007
220528,2025,514392.4200000003
204506,2025,514382.0700000001
178857,2025,514311.0999999989
220582,2023,514071.6699999999
204486,2023,513889.6600000006
220548,2023,513822.42999999993
150418,2025,513812.4499999998
178992,2024,513721.8099999996
74428,2023,513641.7100000001
204526,2024,513542.23000000103
220544,2023,513484.82
66828,2025,513458.39000000013
123086,2023,513428.5899999999
204501,2025,513397.2100000002
220640,2025,513355.4899999998
220586,2023,513126.4599999994
141421,2023,513101.9600000004
204355,2024,512298.5199999998
204378,2023,512161.1100000003
220572,2024,511807.07999999996
220708,2023,511776.81000000006
220595,2025,511726.2100000002
204518,2024,511503.8700000002
220606,2025,511310.16000000003
160592,2024,511307.18999999977
205865,2024,511255.16999999987
74273,2025,511088.55000000016
204526,2025,511060.01999999915
220625,2024,511041.3499999999
220640,2023,510941.4399999997
220530,2024,510817.82999999984
220692,2023,510546.94000000024
220633,2025,510475.0000000005
220664,2023,510281.4699999999
220684,2023,510223.07000000065
92102,2024,510210.47
204550,2025,510181.3200000001
220691,2024,509903.31999999995
220530,2025,509833.8400000002
141456,2025,509774.8
204504,2025,509715.1300000001
221328,2025,509629.8399999998
204455,2023,509603.5199999998
