id,nomeCivil,siglaUF,siglaPartido
220607,MAX RODRIGUES LEMOS,RJ,PDT
220591,ROZIMEIRE RIBEIRO ANDRADE,AC,UNIÃO
74428,JOSÉ MENDONÇA BEZERRA FILHO,PE,UNIÃO
188097,MERLONG SOLANO NOGUEIRA,PI,PT
220585,FRANCISCO EMERSON ASSIS DE LUCENA,PB,PP
220530,Manoel Messias Donato Bezerra,ES,REPUBLICANOS
171786,MIGUEL ÂNGELO MONTEIRO ANDRADE,MG,PT
178985,MIGUEL LOMBARDI,SP,PL
178895,MISAEL ARTUR FERREIRA VARELLA,MG,PSD
160561,JOSÉ OLIMPIO SILVEIRA MORAES,SP,PL
178997,MOSES HAENDEL MELO RODRIGUES,CE,UNIÃO
220617,MURILLO GOUVEA RODRIGUES,RJ,UNIÃO
220584,CÁSSIO MURILO GALDINO DE ARAÚJO,PB,REPUBLICANOS
204453,NATÁLIA BASTOS BONAVIDES,RN,PT
204449,NELSON NED PREVIDENTE,MT,PL
220703,ORLANDO SULZ DE ALMEIDA NETO,BA,AVANTE
178896,NEWTON CARDOSO JUNIOR,MG,MDB
204479,ANTONIO CARLOS NICOLETTI,RR,PL
209787,NIKOLAS FERREIRA DE OLIVEIRA,MG,PL
178986,NILTO IGNACIO TATTO,SP,PT
74159,ODAIR JOSÉ DA CUNHA,MG,PT
204498,OLIVAL HENRIQUE MARQUES DE SOUZA,PA,MDB
178987,ORLANDO SILVA DE JESUS JUNIOR,SP,PCdoB
73692,OSMAR GASPARINI TERRA,RS,PL
204422,OSSESIO JOSE DA SILVA,PE,REPUBLICANOS
204441,OTONI MOURA DE PAULO JUNIOR,RJ,MDB
220706,NELSON FERNANDO PADOVANI,PR,UNIÃO
160556,JOÃO CARLOS SIQUEIRA,MG,PT
180214,RAIMUNDO DINIZ ARAÚJO,RR,UNIÃO
160642,FRANCISCO EURICO DA SILVA,PE,PL
204570,GILDENEMIR DE LIMA SOUSA,MA,PL
220615,HENRIQUE DOS SANTOS VIEIRA LIMA,RJ,PSOL
204553,MANOEL ISIDORIO DE SANTANA JUNIOR,BA,AVANTE
74160,PATRUS ANANIAS DE SOUZA,MG,PT
171617,PAULO FERNANDO DOS SANTOS,AL,PT
141518,PAULO PEREIRA DA SILVA,SP,SOLIDARIEDADE
