id,tipoDespesa,valorLiquido,ranking
178887,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,66760.3,3.0
74383,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",53837.31,4.0
160600,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,318273.4,2.0
160635,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,382683.42,2.0
73531,COMBUSTÍVEIS E LUBRIFICANTES.,71005.53,5.0
74400,PASSAGEM AÉREA - SIGEPA,22381.04,4.0
160538,PASSAGEM AÉREA - SIGEPA,187540.37,4.0
220608,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,457413.0,2.0
204374,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,549000.0,1.0
221329,COMBUSTÍVEIS E LUBRIFICANTES.,24058.81,5.0
74043,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,253200.0,2.0
204528,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",19933.68,3.0
220667,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,453509.0,1.0
204559,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,252940.66,4.0
220696,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,432000.0,2.0
160976,PASSAGEM AÉREA - SIGEPA,579547.0,1.0
141421,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,482855.0,2.0
143084,TELEFONIA,2712.0,5.0
204473,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,559430.87,2.0
161550,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,551762.12,1.0
160548,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,566558.53,1.0
178908,LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES,564000.0,1.0
220670,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,561732.48,1.0
74478,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,51667.8,4.0
220657,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,153058.78,4.0
188097,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,241621.64,3.0
191923,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,313200.0,3.0
220606,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,173764.0,4.0
178910,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,240885.41,3.0
160527,PASSAGEM AÉREA - SIGEPA,399532.8,2.0
220559,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",97759.2,5.0
220582,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,1082094.3,1.0
220700,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,341611.0,2.0
74079,PASSAGEM AÉREA - RPA,59039.2,3.0
74159,COMBUSTÍVEIS E LUBRIFICANTES.,301384.08,3.0
73808,PASSAGEM AÉREA - SIGEPA,37477.27,2.0
220611,COMBUSTÍVEIS E LUBRIFICANTES.,174334.06,4.0
220688,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,443930.0,1.0
160541,PASSAGEM AÉREA - SIGEPA,158513.03,1.0
73531,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,602166.3,1.0
220583,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,364739.99,2.0
74075,PASSAGEM AÉREA - SIGEPA,550382.79,1.0
220612,PASSAGEM AÉREA - SIGEPA,145583.32,4.0
204572,PASSAGEM AÉREA - SIGEPA,570657.54,1.0
204427,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,487939.37,2.0
220667,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,286838.34,4.0
178947,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,566897.84,1.0
178933,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,340893.58,3.0
220528,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,291036.69,3.0
74171,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,251445.57,2.0
178929,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,264502.74,3.0
220633,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,398497.4,2.0
220595,PASSAGEM AÉREA - SIGEPA,449713.93,1.0
204560,LOCAÇÃO OU FRETAMENTO DE AERONAVES,165832.8,4.0
204398,COMBUSTÍVEIS E LUBRIFICANTES.,156681.55,4.0
220557,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,347441.37,3.0
198783,PASSAGEM AÉREA - SIGEPA,245187.13,2.0
220584,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,880500.0,1.0
234788,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,4950.0,2.0
220713,TELEFONIA,30697.37,5.0
225730,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,319562.2,1.0
220605,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,349995.13,2.0
220569,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,276818.5,3.0
220553,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,439055.38,1.0
171786,PASSAGEM AÉREA - SIGEPA,177023.5,4.0
74574,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,396000.0,2.0
